episode,round,investment,repay_prop,repayment,tripled_amount,investor_gain,trustee_gain
0,1,15.0,0.0,0.0,45.0,5.0,45.0
0,2,10.0,0.0,0.0,30.0,10.0,30.0
0,3,0.0,0.0,0.0,0.0,20.0,0.0
0,4,0.0,0.0,0.0,0.0,20.0,0.0
0,5,0.0,0.0,0.0,0.0,20.0,0.0
0,6,0.0,0.0,0.0,0.0,20.0,0.0
0,7,0.0,0.0,0.0,0.0,20.0,0.0
0,8,0.0,0.0,0.0,0.0,20.0,0.0
0,9,0.0,0.0,0.0,0.0,20.0,0.0
0,10,0.0,0.0,0.0,0.0,20.0,0.0
1,1,20.0,0.0,0.0,60.0,0.0,60.0
1,2,0.0,0.0,0.0,0.0,20.0,0.0
1,3,20.0,0.75,45.0,60.0,45.0,15.0
1,4,5.0,0.0,0.0,15.0,15.0,15.0
1,5,20.0,0.0,0.0,60.0,0.0,60.0
1,6,5.0,0.0,0.0,15.0,15.0,15.0
1,7,20.0,0.0,0.0,60.0,0.0,60.0
1,8,20.0,0.0,0.0,60.0,0.0,60.0
1,9,15.0,0.75,33.75,45.0,38.75,11.25
1,10,20.0,0.0,0.0,60.0,0.0,60.0
2,1,0.0,0.0,0.0,0.0,20.0,0.0
2,2,0.0,0.0,0.0,0.0,20.0,0.0
2,3,5.0,0.0,0.0,15.0,15.0,15.0
2,4,0.0,0.0,0.0,0.0,20.0,0.0
2,5,0.0,0.0,0.0,0.0,20.0,0.0
2,6,0.0,0.0,0.0,0.0,20.0,0.0
2,7,20.0,0.0,0.0,60.0,0.0,60.0
2,8,20.0,0.0,0.0,60.0,0.0,60.0
2,9,10.0,0.0,0.0,30.0,10.0,30.0
2,10,5.0,0.0,0.0,15.0,15.0,15.0
3,1,15.0,0.0,0.0,45.0,5.0,45.0
3,2,15.0,0.0,0.0,45.0,5.0,45.0
3,3,10.0,0.0,0.0,30.0,10.0,30.0
3,4,20.0,0.0,0.0,60.0,0.0,60.0
