episode,round,world,investment,repay_prop,investor_gain,trustee_gain,fair_repay_prop,mid_repay_prop,max_repay_prop
0,1,coordinated,10.0,0.25,17.5,22.5,0.75,0.0,0.0
0,2,coordinated,10.0,0.5,25.0,15.0,1.0,0.25,0.25
0,3,coordinated,15.0,0.25,16.25,33.75,0.25,0.25,0.0
0,4,coordinated,10.0,0.25,17.5,22.5,0.25,0.75,0.0
0,5,coordinated,10.0,0.5,25.0,15.0,0.25,1.0,0.25
0,6,coordinated,15.0,0.25,16.25,33.75,0.5,0.0,0.0
0,7,coordinated,10.0,0.25,17.5,22.5,1.0,0.25,0.5
0,8,coordinated,10.0,0.25,17.5,22.5,0.75,0.5,0.25
0,9,coordinated,10.0,0.5,25.0,15.0,0.5,0.75,0.75
0,10,coordinated,15.0,0.5,27.5,22.5,0.75,0.75,0.5
1,1,coordinated,10.0,0.0,10.0,30.0,1.0,0.0,0.0
1,2,coordinated,5.0,0.0,15.0,15.0,0.0,1.0,0.25
1,3,coordinated,5.0,0.5,22.5,7.5,0.5,0.75,0.75
1,4,coordinated,15.0,0.25,16.25,33.75,0.25,0.25,1.0
1,5,coordinated,10.0,0.25,17.5,22.5,0.5,0.25,0.0
1,6,coordinated,10.0,0.25,17.5,22.5,0.5,1.0,0.0
1,7,coordinated,10.0,0.25,17.5,22.5,0.0,0.75,0.25
1,8,coordinated,10.0,0.5,25.0,15.0,0.5,0.5,0.25
1,9,coordinated,15.0,0.25,16.25,33.75,0.75,0.5,0.0
1,10,coordinated,10.0,0.25,17.5,22.5,0.0,0.75,0.75
2,1,coordinated,10.0,0.0,10.0,30.0,0.0,0.0,0.0
2,2,coordinated,5.0,0.0,15.0,15.0,0.0,1.0,0.25
2,3,coordinated,5.0,0.25,18.75,11.25,0.25,0.5,0.75
2,4,coordinated,10.0,0.5,25.0,15.0,0.75,0.75,0.75
2,5,coordinated,15.0,0.5,27.5,22.5,0.75,0.5,0.75
2,6,coordinated,15.0,0.25,16.25,33.75,0.5,0.5,0.75
2,7,coordinated,10.0,0.5,25.0,15.0,0.5,0.25,0.5
2,8,coordinated,15.0,0.5,27.5,22.5,0.75,0.25,0.75
2,9,coordinated,15.0,0.5,27.5,22.5,1.0,0.5,0.25
2,10,coordinated,15.0,0.25,16.25,33.75,0.25,0.0,0.0
3,1,coordinated,10.0,0.0,10.0,30.0,0.5,0.0,0.0
3,2,coordinated,5.0,0.25,18.75,11.25,0.5,1.0,0.25
3,3,coordinated,10.0,0.5,25.0,15.0,0.5,1.0,0.75
3,4,coordinated,15.0,0.0,5.0,45.0,1.0,0.0,0.25
3,5,coordinated,5.0,0.0,15.0,15.0,1.0,0.25,0.0
3,6,coordinated,5.0,0.0,15.0,15.0,0.0,0.5,1.0
3,7,coordinated,5.0,0.5,22.5,7.5,0.5,0.75,0.5
3,8,coordinated,15.0,0.0,5.0,45.0,0.0,0.25,0.75
3,9,coordinated,5.0,0.25,18.75,11.25,1.0,1.0,0.25
3,10,coordinated,10.0,0.5,25.0,15.0,1.0,0.75,0.5
4,1,coordinated,10.0,0.25,17.5,22.5,0.25,0.0,0.0
4,2,coordinated,10.0,0.5,25.0,15.0,1.0,0.25,0.25
4,3,coordinated,15.0,0.25,16.25,33.75,0.75,0.25,0.0
4,4,coordinated,10.0,0.25,17.5,22.5,1.0,0.75,0.0
4,5,coordinated,10.0,0.5,25.0,15.0,0.5,1.0,0.25
4,6,coordinated,15.0,0.25,16.25,33.75,1.0,0.0,0.0
4,7,coordinated,10.0,0.5,25.0,15.0,0.75,0.25,0.5
4,8,coordinated,15.0,0.25,16.25,33.75,0.0,0.5,0.75
4,9,coordinated,10.0,0.5,25.0,15.0,0.5,0.25,0.5
4,10,coordinated,15.0,0.5,27.5,22.5,0.5,0.75,0.5
5,1,coordinated,10.0,0.0,10.0,30.0,0.5,0.0,0.0
5,2,coordinated,5.0,0.25,18.75,11.25,0.25,1.0,0.25
5,3,coordinated,10.0,0.5,25.0,15.0,1.0,1.0,0.75
5,4,coordinated,15.0,0.0,5.0,45.0,0.0,0.0,0.25
5,5,coordinated,5.0,0.0,15.0,15.0,0.75,0.25,0.0
5,6,coordinated,5.0,0.5,22.5,7.5,1.0,0.5,1.0
5,7,coordinated,15.0,0.0,5.0,45.0,0.25,0.0,1.0
5,8,coordinated,5.0,0.0,15.0,15.0,0.75,0.5,0.0
5,9,coordinated,5.0,0.25,18.75,11.25,1.0,1.0,0.25
5,10,coordinated,10.0,0.5,25.0,15.0,0.75,0.75,0.5
6,1,coordinated,10.0,0.25,17.5,22.5,0.25,0.0,0.0
6,2,coordinated,10.0,0.25,17.5,22.5,0.5,0.75,0.25
6,3,coordinated,10.0,0.25,17.5,22.5,0.25,0.25,0.0
6,4,coordinated,10.0,0.25,17.5,22.5,0.5,0.0,0.25
6,5,coordinated,10.0,0.25,17.5,22.5,0.75,1.0,0.25
6,6,coordinated,10.0,0.25,17.5,22.5,1.0,0.0,0.0
6,7,coordinated,10.0,0.25,17.5,22.5,0.5,0.75,0.25
6,8,coordinated,10.0,0.25,17.5,22.5,0.0,0.5,0.25
6,9,coordinated,10.0,0.25,17.5,22.5,0.25,0.5,0.75
6,10,coordinated,10.0,0.25,17.5,22.5,0.0,1.0,1.0
7,1,coordinated,10.0,0.25,17.5,22.5,0.75,0.0,0.0
7,2,coordinated,10.0,0.25,17.5,22.5,0.75,0.75,0.25
7,3,coordinated,10.0,0.25,17.5,22.5,1.0,0.25,0.0
7,4,coordinated,10.0,0.25,17.5,22.5,1.0,0.0,0.25
7,5,coordinated,10.0,0.25,17.5,22.5,0.0,0.25,0.25
7,6,coordinated,10.0,0.25,17.5,22.5,0.0,0.0,0.0
7,7,coordinated,10.0,0.25,17.5,22.5,0.25,0.75,0.25
7,8,coordinated,10.0,0.25,17.5,22.5,1.0,0.5,0.25
7,9,coordinated,10.0,0.25,17.5,22.5,0.0,0.5,0.75
7,10,coordinated,10.0,0.25,17.5,22.5,0.5,1.0,1.0
8,1,coordinated,10.0,0.0,10.0,30.0,0.25,0.0,0.0
8,2,coordinated,5.0,0.25,18.75,11.25,0.75,1.0,0.25
8,3,coordinated,10.0,0.25,17.5,22.5,0.25,1.0,0.75
8,4,coordinated,10.0,0.25,17.5,22.5,0.25,0.75,0.25
8,5,coordinated,10.0,0.5,25.0,15.0,1.0,1.0,0.75
8,6,coordinated,15.0,0.0,5.0,45.0,0.0,0.0,0.0
8,7,coordinated,5.0,0.25,18.75,11.25,0.25,0.25,0.5
8,8,coordinated,10.0,0.0,10.0,30.0,0.75,0.0,1.0
8,9,coordinated,5.0,0.25,18.75,11.25,0.25,0.5,0.25
8,10,coordinated,10.0,0.5,25.0,15.0,0.5,0.75,0.5
9,1,coordinated,10.0,0.0,10.0,30.0,0.75,0.0,0.0
9,2,coordinated,5.0,0.25,18.75,11.25,1.0,1.0,0.25
9,3,coordinated,10.0,0.0,10.0,30.0,0.0,0.75,0.75
9,4,coordinated,5.0,0.25,18.75,11.25,1.0,1.0,0.25
9,5,coordinated,10.0,0.0,10.0,30.0,0.5,0.0,0.5
9,6,coordinated,5.0,0.0,15.0,15.0,0.0,0.25,0.75
9,7,coordinated,5.0,0.25,18.75,11.25,0.25,0.5,0.5
9,8,coordinated,10.0,0.0,10.0,30.0,0.0,0.0,1.0
9,9,coordinated,5.0,0.25,18.75,11.25,1.0,0.5,0.25
9,10,coordinated,10.0,0.0,10.0,30.0,0.0,0.75,0.5
10,1,coordinated,10.0,0.0,10.0,30.0,1.0,0.0,0.0
10,2,coordinated,5.0,0.0,15.0,15.0,0.0,1.0,0.25
10,3,coordinated,5.0,0.0,15.0,15.0,0.0,0.5,0.75
10,4,coordinated,5.0,0.5,22.5,7.5,0.75,0.5,0.75
10,5,coordinated,15.0,0.5,27.5,22.5,1.0,1.0,0.5
10,6,coordinated,15.0,0.5,27.5,22.5,0.75,0.5,0.75
10,7,coordinated,15.0,0.0,5.0,45.0,0.0,0.0,0.5
10,8,coordinated,5.0,0.0,15.0,15.0,0.0,0.5,0.0
10,9,coordinated,5.0,0.25,18.75,11.25,0.75,1.0,0.25
10,10,coordinated,10.0,0.25,17.5,22.5,0.25,0.75,0.5
11,1,coordinated,10.0,0.0,10.0,30.0,0.0,0.0,0.0
11,2,coordinated,5.0,0.0,15.0,15.0,0.0,1.0,0.25
11,3,coordinated,5.0,0.0,15.0,15.0,0.75,0.0,0.0
11,4,coordinated,5.0,0.25,18.75,11.25,0.25,1.0,0.75
11,5,coordinated,10.0,0.0,10.0,30.0,1.0,0.0,0.5
11,6,coordinated,5.0,0.25,18.75,11.25,0.25,0.25,0.75
11,7,coordinated,10.0,0.0,10.0,30.0,1.0,0.5,0.0
11,8,coordinated,5.0,0.25,18.75,11.25,0.25,1.0,1.0
11,9,coordinated,10.0,0.0,10.0,30.0,0.25,0.0,1.0
11,10,coordinated,5.0,0.0,15.0,15.0,0.25,1.0,0.0
12,1,coordinated,10.0,0.25,17.5,22.5,0.0,0.0,0.0
12,2,coordinated,10.0,0.25,17.5,22.5,0.0,0.75,0.25
12,3,coordinated,10.0,0.25,17.5,22.5,0.5,0.25,0.0
12,4,coordinated,10.0,0.25,17.5,22.5,0.75,0.75,0.25
12,5,coordinated,10.0,0.0,10.0,30.0,0.0,1.0,0.25
12,6,coordinated,5.0,0.5,22.5,7.5,1.0,0.25,0.75
12,7,coordinated,15.0,0.25,16.25,33.75,0.5,0.0,1.0
12,8,coordinated,10.0,0.5,25.0,15.0,1.0,0.5,0.25
12,9,coordinated,15.0,0.25,16.25,33.75,0.0,0.5,0.0
12,10,coordinated,10.0,0.75,32.5,7.5,0.75,0.75,0.75
13,1,coordinated,10.0,0.0,10.0,30.0,0.25,0.0,0.0
13,2,coordinated,5.0,0.0,15.0,15.0,0.0,1.0,0.25
13,3,coordinated,5.0,0.25,18.75,11.25,0.25,0.5,1.0
13,4,coordinated,10.0,0.25,17.5,22.5,0.25,0.75,0.75
13,5,coordinated,10.0,0.25,17.5,22.5,0.75,1.0,0.25
13,6,coordinated,10.0,0.0,10.0,30.0,0.25,0.0,0.0
13,7,coordinated,5.0,0.0,15.0,15.0,0.0,0.25,0.5
13,8,coordinated,5.0,0.25,18.75,11.25,0.5,0.25,0.25
13,9,coordinated,10.0,0.0,10.0,30.0,0.75,0.0,1.0
13,10,coordinated,5.0,0.0,15.0,15.0,0.75,1.0,0.0
14,1,coordinated,10.0,0.0,10.0,30.0,0.75,0.0,0.0
14,2,coordinated,5.0,0.0,15.0,15.0,0.0,1.0,0.25
14,3,coordinated,5.0,0.5,22.5,7.5,0.75,0.5,0.75
14,4,coordinated,15.0,0.25,16.25,33.75,1.0,0.25,1.0
